boss007|文化大**？？
飞机君.|var i=0;
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										interval(function(){
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											i++;
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												$.createComment("李狗蛋",{x:250+100*(Math.cos(i/10))*(Math.cos(i/10))*(Math.cos(i/10)), y:180+180*(Math.sin(i/10))*(Math.sin(i/10))*(Math.sin(i/10)), lifeTime:3,color:0xffffff-i*0x1505**});
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												},1,500);
宇田月世|弹幕刷起来
凉宫爱梦|喵星人。。。习近平、、
聖光獵魔人|前方⑨发动必杀技！！！3000分大神韩晓宇笑了！！！
1164|成都达禄科技有限公司发来贺电
众神的终结者|在此感谢给我邀请码的童鞋
爱妹纸的大汉|听说发弹幕不卡
超東風谷人|这个游戏比女装山脉难玩多了 我想起那天夕阳下的奔跑 那是我逝去的青春、时臣：怪我咯？
幻想の万華鏡|回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━
ぼむ|少女你是男孩子！
鱼子酱23333|高产赛母猪
小清新的绅士|VVV
掀内裤狂魔|发弹幕不卡
厂长真男人|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅
zunlilove|发弹幕不卡吗？
伐啊|只有我觉得这个瑞秋真心长残嘛？
逢事莫坑爹|刚看完6.。7就来了
泽口玲绪|消灭零檀木
动动|听说发弹幕不卡
天辰小顾|▁▂▃▄▅▆▇█▇▆▅▄▃▄▆▇█▉█▇▆▅▄▃▂▁▃▄▅▆▇█▉▊▋▁▂▄▅▆▇█▉█▇▆▅▄▃▂▁▁▂▃▄▅▆▇█▇▆▅▄▃▄▆▇█▉█▇▆▅▄▃▂▁▃▄▅▆▇█▉▊▋▁▂▄▅▆▇█▉█▇▆▅▄▃▂▁▁▂▃▄▅▆▇█▇▆▅▄▃▄▆▇█▉█▇▆▅▄▃▂▁▃▄▅▆▇█▉▊▋▁▂▄▅▆▇█▉█▇▆▅▄▃▂▁▁▂▃▄▅▆▇█▇▆▅▄▃▄▆▇█▉█▇▆▅▄▃▂▁▃▄▅▆▇█▉▊▋▁▂▄▅▆▇█▉█▇▆▅▄▃▂▁▁▂▃▄▅▆▇█▇▆▅▄▃▄▆▇
hahaxixi|神烦女猪
米酱是我男朋友|弹幕刷起来啊啊啊啊啊
天然呆妹汁|据说发弹幕不卡..
木彤|发弹幕不卡
amenoera|共匪剿完找谁来？？国民党？现在连台湾都搞得这死样
饿死的熊|发弹幕不卡
你是我婊哥|发弹幕不卡吗
寻墨染|▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂▃▅▆▇▇▆▅▃▂▁▁▂▃▅▆▇▇▆▅▂
周六叼周日轮|麻组一时爽 全**火葬场
吧唧猫饼干|真遥一生推，真遥生一堆
′期待、黎明|求导播正脸
Theara|今日注册成**飘过
腐霉女|的
皓皓|我准确的预言，这个国**将走向分裂，如果不改革。
纯洁的蛇|不会屏蔽底部字幕 的 更是傻B
世姬天成|B站一群逗逼!
昕爷|节操完了  捡地上的  弹幕刷起来 魂淡
青言|又在抄袭我大CF
科学de超電磁砲|中国，，ok，好吧，开打吧。
炮姐好萌啊|去你妈的，一群高贵冷艳的自以为理智的SB，发泄几句不给么？愤青也比你们狗屁淡定好
yuyifan123|好 快杀光中国人/n好 快杀光中国人/n好 快杀光中国人/爽死了
毛利兰的卫生巾|我是纯黑！专杀中国人！
最新制作|快来搞死这只激萌的学士
世间最强的⑨|太萌
纆小残|萌音出没
酆暧昧|♂哈♂~偶捏♂撒嘛·偶给属你吗哦~哈♂哈捏撒嘛♂哈♂~偶捏♂撒嘛·偶给属你吗哦~哈♂哈捏撒嘛
Ｈｉ|KYY我真的很爱很爱你 我忘不掉你！！！
神叶原|★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═★═━┈┈┈┈　　　★═━┈┈　　　★═
失落的记忆|雪菜是贱婊 **完仍粪坑
琪琪大人|就喜欢刷腐，所有黑子比SD好看！
天空的倒影|黑子的篮球比这好看多了!!!! 这樱木丑死了!!
天空的倒影|黑子的篮球比这好看多了!!!! 这樱木丑死了!!
天空的倒影|黑子的篮球比这好看多了!这樱木TMD丑死了!!
隐逸的鱼|弹幕刷起来
抉择传奇|篮球是什么垃圾游戏 有英雄联盟好玩？？？
撸管到圣诞|违规评论
renzaohaji|、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°
HugoWGH|这是一个地球人和外星人的故事
下限帝四面|西方强大的根源在于体制
下限帝四面|中国人就是矫情, 以为自己什么都得有, 什么都得造
下限帝四面|别国靠一个企业就能上天入地,就你中国还必须"举国之力"
下限帝四面|国外几百**你中国就一**还耀武扬威
下限帝四面|殊不知在世界先进国**眼里, 中国的工业简直就是小孩子玩耍, 纯属浪费人类资源, 凭空创造污染
kerrysuxi|脑补力Max
无爱吐槽君|、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;   、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:　.｡.:*･ﾟ✿°゜、.&lt;、' ｀*:　.｡:　　*･ﾟ✿　°゜、' ｀*ﾟ:｡:*･ﾟ✿°゜、　' ｀*ﾟ:
佳档|和魔女之**的时候一样，一晚上一口气撸到最后，真是治愈人心啊，一天的劳累瞬间就被治愈了呢。
shishunhu|共匪
渺渺啊|夺冠冲啊壮哉我大梦龙
飞翔吧大浦洞|几十万的座椅 一万块的马桶 几万块的电视 1500块的抽纸盒 呵呵 你们的劳动成果最后都进了个别SB的腰包
飞翔吧大浦洞|看了几集都忍住了 说道动车实在是忍不住出来吐槽 动车 丢世界之大脸
飞翔吧大浦洞|无数的一线劳动者辛苦学习创新科研的结果 在几个SB决策者手里毁了 这就是天朝
ldhxldh|竟然还有人说除了**州,这还有人性吗!?都忘了当年铁道部的无耻狡辩了吗!?幸好死的不是你
ldhxldh|可惜**州动车出事以后火车头被第一时间销毁了,这些东西都死无对证了
ldhxldh|还有给铁道部当狗的五毛,呵呵 真是世界之大无奇不有
ldhxldh|**州出事以后铁道部屡次狡辩,欺骗百姓,隐瞒问题,这还不够说明问题吗?!给他们当五毛,这还能乘坐人吗?!
ldhxldh|中国动车事故世界震惊 这还能狡辩 呵呵
genesiswu|野生字幕出没
当妈把妹右手|发弹幕不卡。。。。
江门作|所以你现在是四百大妈？
江门作|就是我！妈四百大！
江门作|警告！前方高能！非战斗人员迅速撤离！
lelejay177|听说发弹幕不卡
我为何怎么DIO|sb把 你电脑上居然有LOL 小学生？ 小学生还装dota2干嘛 装高贵么！你没经历过我们那个时代根本就没资格谈论dota！你们不知道dota对我们来说是什么存在！ 那是我们80后的信仰！！！  你们这些sb90后就该去玩tx的坑钱游戏
我为何怎么DIO|抄袭dota抄袭dota抄袭dota
王童蒙|男主就是个垃圾，而且声音还那么像神大人，太圣母了，烂番
不律|談你麻痹鋼琴
地狱小番茄|中国人就喜欢喷 但是不许外国人喷 爱之深恨之切你懂么？
地狱小番茄|外国人在中国式超国民待遇
地狱小番茄|这里就扯淡了！民工的孩子入学难！！！
地狱小番茄|群众演员
地狱小番茄|**。。。
地狱小番茄|中国人能熬到现在 主要还是人多 灭不掉
地狱小番茄|信访的都被杀了好么
地狱小番茄|村官都是贿选的啊
地狱小番茄|尼玛2 净扯淡 医疗压根没有实质性改革
地狱小番茄|房子是住不起的啊
地狱小番茄|城乡差距太大了
地狱小番茄|节能也还是个笑话。。。
❤ˊ︷つ小海|习近平、李克强、张德江、俞正声、刘云山、
带我呼吸丶|我会告诉你摄影师才是最厉害的麽？？？？？
深红郎|裆中央、锅屋院表示高度重视，决定采取“计划生育”但由于本视频弹幕基数较大每天新增弹幕仍然较多。
Mars蒥詈|厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与本二上旦上二本与半卉一十廿卞广下厂下广卞廿十一卉半与
kerokero~~|667ae39d1d52fce1 甩个邀请码，喜欢就拿走吧，不小心按多了
sunyatsen|發彈幕求不卡
我我我怎么了|为什么放弃治疗
大型食肉萌物|看完这集就睡觉系列
*__|同性恋活该被钉在耻辱柱上啊
*__|打倒同性恋！！！推翻FFF团！！！异性恋万岁！！！
*__|真搞笑 自己废物找不到恋人 就烧死这个烧死那个的
*__|垃圾
*__|所以说同性恋都是畜生
轻浅明亮|还有甲苯！
野神是谁|听说发弹幕不卡
Kvjone|小撒你冷静点，小撒你听我说，我是岩松啊！
止水明镜|剧透一时爽，全**火葬场
孤鸾逆时针|非**请求
哭泣的魅影|这是什么动漫？
会飞的芝士|银他妈
会飞的芝士|大老师
独孤天苍|肉棒，最喜欢了
昵称怀么笙後|根本停不下来！！！！！！！！！
skpolmo|嘟嘟璐
不堕天|www.***qq.com
冲田杏梨喵|妈妈再也不担心我杀人会留证据啦
gapew|求发弹幕不卡.......
罪恶书生|我来进行正义的挡屏我来进行正义的挡屏我来进行正义的挡屏
猫喜欢七色崖|书好的发弹幕不卡
Yonaki|【剧透】漫画真央已表白（当然不是这一段】
きのこ菌|飞                                                                                             飞                                                                                             飞
木可_____|飞     --------------
圣君KA|非**请求
顺流直下|我上琴党头顶青天
顺流直下|处女币走你！！！
.bilibili.|◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･*:.｡.｡.◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡. ◀◘◙█Ε｡.:*❉ﾟ･*:.｡.｡.:*･゜❆ﾟ･*｡.:*❉ﾟ･◀◘
下面有只大象|违规弹幕
朽木布可凋夜|我听说那个15岁的黑木耳也在所以来看看
蒂莉娅特蕾艾|刘君逸  我最爱你了呀   你一定要幸福！！
闇隱の鐮鼬|没邀请码你不一定能注册成**2333*
半羽进平|违规弹幕
哈曼··卡恩|拉玛西亚影视学院万岁！
川泉神之助|腐女都是母狗！欠艹！滚蛋！
青丝不可量度|发弹幕不卡
仪子|据说发弹幕不卡
道哥威天下|装
射你一菊节操|人在哪里！都出来！
怪怪的叔叔|飞                                           飞
kiss the f|听说发弹幕不卡
娜娜又卖队长|↓黄字小学狗，鉴定完毕
程颜|毁歌不倦
kisue|硫化狗喜欢倒贴流川踩流川，毫不含糊
回忆死神|说发弹幕不卡的出来，一群禽兽
仗剑凡尘|真の不要脸挖坟
菠♂萝|发弹幕不卡
***|违规评论
redeemStan|麻麻这只会打卷儿的大丁丁设了0.0
岱真|我大**教再战一亿年！！！
跟踪灬捣蛋|没有ID去要个邀请码啊
烟花三十|将世界毁灭，又将世界创造！
小受到碗里来|这是我今天的膝盖
猥萌才是真的萌|发弹幕不卡
o栗子o|前面那位跟基友要邀请码的等等我你不是一个人！！！
天下无贼525|非**请求
Magic丶释放|发弹幕不卡阿，
基质的啊擦子|烧
冰洁不是受|拜月叔叔的****大**可以救
螺旋の音律|请不要再刷会员了，弹幕池不是让你们买个邀请码来炫耀的
二蠢泠子|就我一个是邀请码进来的吗...
伪恋酱|******！！
虐杀羔羊|发弹幕不卡··
腐化猫君|传说中的发弹幕不卡呢
掠鹰|发弹幕不卡是真么吗oo(0_0)oo
未闻花名ma|为什么巡音是男的
kalimaga|自己打破自己创造的秩序...为啥我想起了文化大**
不是尼玛是我|▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆
卡奥尼特|据说发弹幕不卡      ，我飞啊~~
永记初心|看完也记不住呀QAQ
昵称你别闹|有邀请码实在太好了u
吓夏夏|夜夜夜夜夜
二次元酒鬼|求邀请码
譽|听说发弹幕不卡
酷乐灬安逸|牛
Edward Nat|听说发弹幕不卡？
易GG|弹幕 刷起来
s271562052|杀马特
w7845120w|发弹幕不卡系列
shake614|無限大な夢のあとの 何もない世の中じゃ
killer- 杀手|啊啊啊啊 弹幕刷起来！！！
忖舛|無限大（むげんだい）な夢（ゆめ）のあとの
Ailjls|凸
神之叹息|听说发弹幕不卡！
滴滴儿|堪比我大******
加賀伯弗|wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
桑心病狂英语桑|小黄帽
kakulaalu|说好的发弹幕不卡的==
切糕豆包牛奶|发弹幕不卡？
亲日小学狗|发弹幕不卡
喵米喵米|求到的邀请码
IceNova|发弹幕不卡？
wangchen|C
白冬|邀请码的笑了
晴樱空|听说发弹幕不卡。。。。~~~~！
栋尼玛|听说发弹幕不卡
hole83|▁▂▃▄▅▆▇█▇▆▅▄▃▂▁▂▃▄▅▆▇█▇▆▅▄▃▂▁
搓丸子的须佐|发弹幕不卡？
ruylee|听说发弹幕不卡
林挽歌|剑灵都搞不到邀请码啊
5270|发弹幕不卡
一尾|发弹幕不卡
赦聚|要到一个邀请码，哦耶
蓝色的红字君|发弹幕不卡
百湾优津|被发了份邀请码就来申请会员的难道只有我一个人
玥陷腐不腐|邀请码的路过……
上帝是个西瓜|高产赛母猪
正宗驴肉火烧|习近平？
红魔粉|发弹幕不卡？？？
叫我小精灵|要了邀请码大**好我是基佬紫
超武装o咸带鱼|大丁丁！
AYO8|银魂居然能看见画面，弹幕刷起来
八月千寻|弹幕刷起来~\(≧▽≦)/~
lssun|文化大**毁坏了多少文物你们知道么呵呵
亻亣畅|发弹幕不卡
瞎火|你们缺邀请码吗
追兵上高铁|第八首必须听
冰心之地|听说发弹幕不卡
月月鸟|听说 发弹幕不卡
潇漓|听说发弹幕不卡
半寸小仙|发弹幕不卡听说...
赏菊小组长|听说发弹幕不卡。。
5陈|建议屏蔽巨 人、玩 坏，让您观看更加舒心
过殇|表示有邀请码
saduos|必须和马夫双开
唯她命|听说发弹幕不卡
Apltes|后宫注册成**，自动返回页面，若无反应请点击此处
Bolbe7berr|发弹幕不卡啊
daisi崎BI|听说发弹幕不卡
叽吱|发弹幕不卡？
桃花A|空中接力啊！
只为妹子而来|这种直播怎么竖着发弹幕?&gt;
Endless、St|记得上次看这个的时候我还是个精子
荷空枝|发弹幕不卡系列
浅笑掩情殇|我要竖着发弹幕、
汐小祁|谁说的发弹幕不卡
rfvtgbyhnm|文化大**。。我们这这么说的。。
不能说的情话|我是地板
mooTvper|不是说好的发弹幕不卡么
sygres|听说发弹幕不卡
酸奶妹纸|听说发弹幕不卡
凉宫清祀|发弹幕不卡？
不愿说|弹幕刷起来～
进击的酥M|听说发弹幕不卡
崩丝袜he|发弹幕不卡？
八百屋宠姬|0.0听说发弹幕不卡
病毒丸子|发弹幕不卡
1370366591|年
yt1117|邀请码
荀令旧香|发弹幕不卡
暗夜紫煌|违规评论
名字是热翔|发弹幕不卡！？
兇猛哒小老虎|说好的发弹幕不卡呢
需要の蜡烛|卡
TUON嫣|8
吃剩的鱼骨头|看上一集和这一集才发现日奴这么多啊！！ 看不上大陆那就请滚出去不要用中文
bad studen|答题的路过，觉得B站是时候取消邀请码系统了
菲爱丶左拉|挖坟
泪洒微积分|求发弹幕不卡啊啊啊啊！！！！！！！！！！！
啊艹全碉堡|胡
小字辈|啪
Existor|文化大**→_→
Rilliey|哇
黑猫阿夜卡卡|之前是注册会员，这次特意弄了邀请码来看
hanyugui|为了看这个，才去要了邀请码
微凉☆|。
无节操の红白|噗
悠二u2凉川越|l
朦胧の月|赞一个 必须的
奥杜因之翼|▁▂▃▄▅▆▇███▇▆▅▄▃▂▁
迷心蛊|据说发弹幕不卡
弱者之悲歌|庆祝注册成**
秋月蒙蒙|↓
超爱亚丝娜|→.→文化大**
魔卡少女樱|这是听歌向
纯_种马|A
熊猫爱哲学|邀请码党路过…
芊雪百合|这
Coyin|-
「空格」|本
qtyj101|说好的发弹幕不卡呢！？更卡了，被欺骗啦！！！！！！！！
纯香草味的笨蛋|必须投币
巨魔小精灵|发弹幕 不卡
安淡|~
喵噜珂|这不是文化大**吗233
夜染丶|。
张傻发|2
契约密语|的
JimmyZhai|操烂习近平的菊花
闲到忧伤|3
月下黑猫以上|这弹幕刷起来了啊
冥月下的使徒|/p 怎么竖着发
八卦的茶儿|我刷~
bread丶|弹幕刷起来啊啊 啊！！！！！！！！！！！
沫铭|听说发弹幕不卡
柒年以後|据说发弹幕不卡
银兰|星
Tempo|w
up主的欧派|果然跟人类一样不能人兽么
0731|回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･
颜理|B
枳花港|棒
小蒴|☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　☆═━┈┈　　　　　　☆
矛盾鱼|刚获得邀请码的路过QAQ。。。
ImpeRia1丶|完结撒花 ！！！ 已经泪目了！！ 谢谢大P陪我走了半学期！！
我喜欢那谁|飞
念破昕昕|没用的娘炮
雪ノ下 雪乃丶|根本把持不住
逢坂大河SS|回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━
→|弹幕刷起来
╭栞聲瑟瑟╮ξ|鲁路修·Vi·布鲁坦尼亚 下令 世界啊 臣服于我！！！
林离|･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･**✿･*.:ﾟﾟ¨ﾟ*✿･･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･*.:ﾟﾟ¨ﾟ*✿･･*.: .:*･･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･*.:ﾟﾟ¨ﾟ*✿･･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･*.:ﾟﾟ¨ﾟ･**✿･･*.: .:*･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･**✿･*.:ﾟﾟ¨ﾟ*✿･･*.: .:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･*.:ﾟﾟ¨ﾟ*✿･･
才不是萝莉呢|我来保护我的眼睛~！！！！！！！！！！！
皮卡丘vs电磁炮|前方高能，非战斗人员请撤离
青木的空|↓我是真的没玩过也不知道MC里什么道具什么作用但是喜欢大pi不可以吗 非要在这唧唧歪歪干什么
郑小B、|TAG看到了人兽怎么回事
落魄の冻结丶|☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　☆═━┈┈　　　　　　☆
b站妄想症|终于变会员了，虽然是去淘宝买邀请码(*¯︶¯*)
南枕眠|滚床一时爽 全**火葬场
Sea丿悸|☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　　　　☆═━┈┈　　　☆═━┈┈★═━┈┈　　　★═━┈┈　　　　　　★═━┈┈　　　★═━┈┈☆═━┈┈　　　☆═━┈┈　　　☆═━┈┈　　　　　　☆
白リンゴ|我从大Pi**来的
cd2d|自行车自行车
爱在指尖|如此带感！！！！！如此带感！！！！！如此带感！！！！！
雌性腐物|进鸡巴大P！
樱满-集|那一天，北原春希想起了七年前撞见妻子出浴时的美景，以及被今生非她不娶信念所支配的愉悦
E-75重型坦克|人兽.avi
皮卡丘很黄丶|2333*****
RobotX|回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･回ﾚ━━(´･ω･`)━( ´･ω･)━( 　´･ω)━( 　　)━( 　　)━(ω･´　)━(･ω･´)━(｀･ω･´)回ﾚ━━
失Forget|依然在！
丶筱超超丿|周可  大p呢
凌沫诗|鸣佐在一起在一起在一起在一起在一起在一起
N-L|32
albertpota|大pi把煤挖掉了。。。
黑色野兽|★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈　　　★═━┈★═━┈┈　　★═━┈┈┈┈　★═━┈┈┈┈★═━┈┈┈┈　　　★═━┈┈★
